# BEST random-per-pixel fusion
# L2=0.089034, trial=76, ref=Exact
# i,point,x,t,lambda
444,gt2,0.1430000000,0.9866670000,0.25
444,gt1,0.5710000000,0.9866670000,0.00
444,y1,1.0000000000,0.9866670000,1.00
445,y2,0.0000000000,0.9888890000,0.75
445,gt2,0.1430000000,0.9888890000,0.75
445,gt1,0.5710000000,0.9888890000,0.75
445,y1,1.0000000000,0.9888890000,0.00
446,y2,0.0000000000,0.9911110000,0.50
446,gt2,0.1430000000,0.9911110000,0.25
446,gt1,0.5710000000,0.9911110000,1.00
446,y1,1.0000000000,0.9911110000,0.75
447,y2,0.0000000000,0.9933330000,1.00
447,gt2,0.1430000000,0.9933330000,0.00
447,gt1,0.5710000000,0.9933330000,0.25
447,y1,1.0000000000,0.9933330000,0.50
448,y2,0.0000000000,0.9955560000,1.00
448,gt2,0.1430000000,0.9955560000,0.00
448,gt1,0.5710000000,0.9955560000,0.00
448,y1,1.0000000000,0.9955560000,0.75
449,y2,0.0000000000,0.9977780000,0.00
449,gt2,0.1430000000,0.9977780000,0.25
449,gt1,0.5710000000,0.9977780000,0.75
449,y1,1.0000000000,0.9977780000,0.50
